subq_label,numNoContent,aveNoContent
Geometry-Chirality-1- (38),3,0.130434782609
Geometry-Chirality-2 (41),0,0.0
Geometry-Chirality-3 (42),1,0.0416666666667
Geometry-Chirality-4 (44),1,0.0416666666667
Geometry-Circle-2- (18),0,0.0
Geometry-Convexity (9),0,0.0
Geometry-Diagonals (22),3,0.136363636364
Geometry-Distance (16),0,0.0
Geometry-Equilateraltriangle (20),1,0.0384615384615
Geometry-Midpoint (19),0,0.0
Geometry-Parallelogram (25),0,0.0
Geometry-Parallels-1- (37),0,0.0
Geometry-Parallels-2 (40),0,0.0
Geometry-Proportion1-3 (21),0,0.0
Geometry-Proportions (39),2,0.0833333333333
Geometry-Quadrilateral (12),0,0.0
Geometry-Rectangle (24),0,0.0
Geometry-Rightangle-1 (13),0,0.0
Geometry-Rightangle-2 (14),0,0.0
Geometry-Rightangle-3 (15),0,0.0
Geometry-Square (23),1,0.0454545454545
Geometry-Trapezoid (26),3,0.130434782609
Geometry-axialsymmetry-horizontal (29),2,0.0909090909091
Geometry-axialsymmetry-randomaxis (30),1,0.0454545454545
Geometry-axialsymmetry-vertical- (28),2,0.0869565217391
Geometry-line-1 (8),0,0.0
Geometry-line-2 (10),0,0.0
Geometry-line-3 (11),0,0.0
Series-Arithmetic (43),0,0.0
Series-Geometric (45),0,0.0
Topology-Belongsto (7),0,0.0
Topology-Closure (5),0,0.0
Topology-Connexity (6),0,0.0
Topology-Holes (3),0,0.0
Topology-Inside-Outside (4),0,0.0
Transformation-axialsymmetry-horizontal (33),0,0.0
Transformation-axialsymmetry-mixed (35),0,0.0
Transformation-axialsymmetry-vertical (27),1,0.0434782608696
Transformation-homothety (36),0,0.0
Transformation-pointsymmetry (32),0,0.0
Transformation-rotation (34),4,0.173913043478
Transformation-translation (31),0,0.0
