Transformation-rotation (34),Geometry-line-2 (10),Series-Arithmetic (43),Geometry-Diagonals (22),Transformation-axialsymmetry-vertical (27),Geometry-Midpoint (19),Geometry-Convexity (9),Geometry-line-3 (11),Geometry-Proportion1-3 (21),Geometry-Parallelogram (25),Geometry-Proportions (39),Topology-Inside-Outside (4),Geometry-Rightangle-3 (15),Geometry-Equilateraltriangle (20),Geometry-Parallels-2 (40),Geometry-Chirality-1- (38),Geometry-axialsymmetry-vertical- (28),Geometry-Rightangle-1 (13),Geometry-Circle-2- (18),Transformation-axialsymmetry-horizontal (33),Transformation-axialsymmetry-mixed (35),Geometry-Distance (16),Topology-Holes (3),Geometry-Chirality-4 (44),Topology-Closure (5),Transformation-homothety (36),Geometry-Parallels-1- (37),Geometry-Trapezoid (26),Geometry-Chirality-3 (42),Geometry-line-1 (8),Geometry-Rectangle (24),Geometry-Square (23),Geometry-axialsymmetry-randomaxis (30),Transformation-translation (31),Geometry-Rightangle-2 (14),Topology-Connexity (6),Geometry-axialsymmetry-horizontal (29),Topology-Belongsto (7),Geometry-Quadrilateral (12),Geometry-Chirality-2 (41),Series-Geometric (45),Transformation-pointsymmetry (32)
"('triangles', 'wrong')","('curved', 'curved')","('space', 'unevenly')","('shape', 'shape')","('triangles', 'shapes')","('dot', 'dot')","('dent', 'indented')","('dot', 'dot')","('dot', 'dot')","('trapezoid', 'trapezoid')","('large', 'little')","('dot', 'dot')","('center', 'perpendicular')","('equilateral', 'different')","('parallel', 'parallel')","('circle', 'flipped')","('pattern', 'symmetrical')","('right', 'widest')","('white', 'dot')","('triangles', 'shapes')","('triangles', 'shapes')","('dot', 'dot')","('empty', 'hole')","('two', 'different')","('perimeter', 'shape')","('triangles', 'flipped')","('lines', 'lines')","('bases', 'least')","('two', 'image')","('straight', 'straight')","('perimeter', 'diamond')","('rectangle', 'rectangle')","('made', 'symmetrical')","('triangle', 'rotated')","('lines', 'uneven')","('two', '2')","('made', 'symmetrical')","('black', 'dot')","('quadrilateral', 'triangle')","('black', 'flipped')","('large', 'dots')","('triangle', 'orientation')"
"('triangles', 'orientation')","('curved', 'line')","('space', 'spread')","('shape', 'perfect')","('triangles', 'flipped')","('dot', 'middle')","('dent', 'shape')","('dot', 'parallel')","('dot', 'closer')","('instead', 'trapezoid')","('large', 'triangle')","('dot', 'outside')","('line', 'perpendicular')","('equilateral', 'orientation')","('parallel', 'lines')","('circle', 'shape')","('shapesshapes', 'symmetrical')","('right', 'angle')","('white', 'center')","('triangles', 'mirror')","('triangles', 'flipped')","('dot', 'father')","('empty', 'shape')","('two', 'orientation')","('perimeter', 'complete')","('triangles', 'shapes')","('lines', 'parallel')","('bases', 'parallel')","('two', 'flipped')","('straight', 'line')","('sharper', 'diamond')","('square', 'rectangle')","('shapesshapes', 'symmetrical')","('triangle', 'shapes')","('lines', 'angles')","('two', 'shapes')","('shapesshapes', 'symmetrical')","('black', 'line')","('quadrilateral', 'triangular')","('black', 'shape')","('large', 'evenly')","('sides', 'orientation')"
"('triangles', 'rotation')","('line', 'curved')","('3rd', 'unevenly')","('shape', 'trapezoid')","('parallel', 'shapes')","('dot', 'line')","('shape', 'indented')","('lined', 'dot')","('dot', 'edge')","('parallelagram', 'trapezoid')","('large', 'small')","('dot', 'shape')","('bisect', 'perpendicular')","('triangle', 'different')","('lines', 'parallel')","('opposite', 'flipped')","('offset', 'symmetrical')","('triangle', 'widest')","('dot', 'dot')","('parallel', 'shapes')","('parallel', 'shapes')","('dot', 'away')","('space', 'hole')","('short', 'different')","('connect', 'shape')","('arent', 'flipped')","('arent', 'lines')","('1', 'least')","('short', 'image')","('line', 'straight')","('angles', 'diamond')","('rectangle', 'rectangular')","('center', 'symmetrical')","('parallel', 'rotated')","('dont', 'uneven')","('shapes', '2')","('center', 'symmetrical')","('dot', 'dot')","('quadrilateral', 'quadrangular')","('circle', 'flipped')","('large', 'split')","('parallel', 'orientation')"
"('face', 'wrong')","('line', 'line')","('3rd', 'spread')","('sharper', 'shape')","('parallel', 'flipped')","('doesnt', 'dot')","('shape', 'shape')","('lined', 'parallel')","('dot', 'line')","('trapezoid', 'parallelogram')","('size', 'little')","('outside', 'dot')","('longer', 'perpendicular')","('triangle', 'orientation')","('lines', 'lines')","('opposite', 'shape')","('lined', 'symmetrical')","('triangle', 'angle')","('dot', 'center')","('parallel', 'mirror')","('parallel', 'flipped')","('far', 'dot')","('space', 'shape')","('short', 'orientation')","('connect', 'complete')","('arent', 'shapes')","('arent', 'parallel')","('1', 'parallel')","('short', 'flipped')","('line', 'line')","('perimeter', 'rectangle')","('rectangle', 'square')","('made', 'easy')","('parallel', 'shapes')","('dont', 'angles')","('shapes', 'shapes')","('made', 'easy')","('dot', 'line')","('quadrilateral', 'triangle')","('circle', 'shape')","('space', 'dots')","('triangle', 'flat')"
"('face', 'orientation')","('curved', 'line')","('4th', 'unevenly')","('sharper', 'perfect')","('mirror', 'shapes')","('doesnt', 'middle')","('dent', 'shape')","('end', 'dot')","('closer', 'dot')","('instead', 'parallelogram')","('size', 'triangle')","('outside', 'outside')","('line', 'perpendicular')","('equilateral', 'sides')","('parallel', 'lines')","('side', 'flipped')","('middle', 'symmetrical')","('right', 'severe')","('center', 'dot')","('instead', 'shapes')","('mirror', 'shapes')","('far', 'father')","('shape', 'hole')","('lines', 'different')","('perimeter', 'lines')","('parallel', 'flipped')","('parallel', 'lines')","('2', 'least')","('lines', 'image')","('straight', 'line')","('perimeter', 'parallelogram')","('square', 'rectangular')","('made', 'line')","('triangle', 'triangles')","('cross', 'uneven')","('two', 'two')","('made', 'line')","('attached', 'dot')","('quadrilateral', 'quadrilateral')","('opposite', 'flipped')","('space', 'evenly')","('triangle', 'side')"
"('face', 'rotation')","('curved', 'straight')","('4th', 'spread')","('sharper', 'trapezoid')","('mirror', 'flipped')","('doesnt', 'line')","('dent', 'concave')","('end', 'parallel')","('closer', 'closer')","('parallelagram', 'parallelogram')","('size', 'small')","('outside', 'shape')","('right', 'perpendicular')","('equilateral', 'length')","('parallel', 'parallel')","('side', 'shape')","('pattern', 'line')","('right', 'angle')","('center', 'center')","('instead', 'mirror')","('mirror', 'flipped')","('far', 'away')","('shape', 'shape')","('lines', 'orientation')","('perimeter', 'connected')","('parallel', 'shapes')","('parallel', 'parallel')","('2', 'parallel')","('lines', 'flipped')","('straight', 'straight')","('sharper', 'rectangle')","('square', 'square')","('made', 'reflection')","('triangle', 'facing')","('cross', 'angles')","('two', 'shapes')","('made', 'reflection')","('attached', 'line')","('quadrilateral', 'three')","('opposite', 'shape')","('space', 'split')","('triangle', 'second')"
"('opposite', 'wrong')","('line', 'line')","('dot', 'unevenly')","('angles', 'shape')","('image', 'shapes')","('bisect', 'dot')","('dent', 'side')","('line', 'dot')","('closer', 'edge')","('trapezoid', 'parallelogram')","('difference', 'little')","('shape', 'dot')","('angle', 'perpendicular')","('triangle', 'sides')","('parallel', 'angled')","('black', 'flipped')","('pattern', 'reflection')","('triangle', 'severe')","('circle', 'dot')","('mirror', 'shapes')","('image', 'shapes')","('away', 'dot')","('empty', 'complete')","('opposite', 'different')","('perimeter', 'shape')","('triangles', 'triangles')","('lines', 'lines')","('trapezoid', 'least')","('opposite', 'image')","('straight', 'curved')","('sharper', 'parallelogram')","('rectangle', 'rectangle')","('made', 'easily')","('triangle', 'direction')","('right', 'uneven')","('two', 'instead')","('shapesshapes', 'easy')","('line', 'dot')","('quadrilateral', 'sides')","('side', 'flipped')","('2nd', 'dots')","('triangle', 'triangle')"
"('opposite', 'orientation')","('line', 'straight')","('dot', 'spread')","('angles', 'perfect')","('image', 'flipped')","('bisect', 'middle')","('shape', 'shape')","('line', 'parallel')","('closer', 'line')","('instead', 'parallelogram')","('difference', 'triangle')","('shape', 'outside')","('center', 'perpendicular')","('triangle', 'length')","('lines', 'lines')","('black', 'shape')","('shapesshapes', 'line')","('triangle', 'angle')","('circle', 'center')","('mirror', 'mirror')","('image', 'flipped')","('away', 'father')","('empty', 'hole')","('opposite', 'orientation')","('connect', 'lines')","('triangles', 'different')","('lines', 'parallel')","('trapezoid', 'parallel')","('opposite', 'flipped')","('line', 'line')","('angles', 'rectangle')","('rectangle', 'square')","('made', 'mirrored')","('parallel', 'triangles')","('right', 'angles')","('two', 'one')","('shapesshapes', 'line')","('line', 'line')","('quadrilateral', 'triangle')","('side', 'shape')","('2nd', 'evenly')","('triangle', 'facing')"
"('opposite', 'rotation')","('curved', 'curved')","('space', 'dots')","('angles', 'trapezoid')","('triangles', 'mirror')","('bisect', 'line')","('shape', 'concave')","('dot', 'circle')","('end', 'dot')","('parallelagram', 'parallelogram')","('difference', 'small')","('shape', 'shape')","('center', 'instead')","('equilateral', 'equilateral')","('lines', 'parallel')","('line', 'flipped')","('shapesshapes', 'reflection')","('right', 'right')","('white', 'dot')","('image', 'shapes')","('triangles', 'shapes')","('away', 'away')","('empty', 'shape')","('side', 'different')","('connect', 'connected')","('triangles', 'orientation')","('arent', 'lines')","('arent', 'least')","('side', 'image')","('line', 'straight')","('angles', 'parallelogram')","('square', 'rectangle')","('shapesshapes', 'easy')","('parallel', 'facing')","('angles', 'uneven')","('shapes', 'two')","('shapesshapes', 'reflection')","('black', 'dot')","('quadrilateral', 'three')","('line', 'flipped')","('2nd', 'split')","('triangle', 'dot')"
"('directions', 'wrong')","('curved', 'line')","('space', 'equal')","('shape', 'shape')","('triangles', 'images')","('line', 'dot')","('shape', 'side')","('dot', 'line')","('end', 'closer')","('trapezoid', 'longer')","('triangles', 'little')","('dot', 'dot')","('line', 'perpendicular')","('equilateral', 'triangle')","('lines', 'angled')","('line', 'shape')","('offset', 'line')","('right', 'triangle')","('white', 'center')","('image', 'mirror')","('triangles', 'reflected')","('line', 'dot')","('space', 'complete')","('side', 'orientation')","('connect', 'shape')","('arent', 'triangles')","('arent', 'parallel')","('arent', 'parallel')","('side', 'flipped')","('line', 'curved')","('perimeter', 'shape')","('square', 'square')","('shapesshapes', 'line')","('parallel', 'direction')","('angles', 'angles')","('shapes', 'shapes')","('center', 'easy')","('black', 'line')","('quadrilateral', 'borders')","('line', 'shape')","('3rd', 'dots')","('sides', 'flat')"
